Name,Current price,Change(%),Open,High,Low,Volume
OPENDOOR TECHNOLOGIES INC,3.53,3.22,3.49,3.6,3.37,16185020
COMCAST CORP.,46.73,0.41,46.74,47.11,46.18,15696833
VALLEY NATIONAL BANCORP,8.96,16.86,9.72,9.72,8.48,15311626
GRI BIO INC.,1.95,20.37,1.8,4.55,1.52,15272247
QUALCOMM INC.,141.11,14.98,140.87,143.91,140.09,15186497
WALGREENS BOOTS ALLIANCE INC.,23.25,3.01,22.71,23.35,22.29,14202338
META PLATFORMS INC.,394.78,1.19,393.94,400.5,393.05,13797708
JD.COM INC. ADS,22.2,11.55,22.58,22.68,22.02,13631566
PARAMOUNT GLOBAL,14.66,0.48,14.9,15.0,14.43,13600734
SIRIUS XM HOLDINGS INC.,5.23,2.75,5.24,5.35,5.07,13245462
AFFIRM HOLDINGS INC.,39.67,12.07,41.0,41.12,37.56,13182221
REMARK HOLDINGS INC.,0.5113,120.73,0.5517,0.6278,0.4917,11945849
STARBUCKS CORP.,93.37,0.37,93.1,93.6,91.87,11821953
VOLCON INC.,0.0999,125.84,0.105,0.105,0.096,11546540
JAGUAR HEALTH INC.,0.0997,13.67,0.1,0.102,0.096,11258773
CSX CORP.,36.28,1.62,35.75,36.28,35.64,11237416
LI AUTO INC. ADS,29.15,5.31,28.48,29.63,28.32,11014849
U POWER LTD.,0.091,12.26,0.0901,0.095,0.088,10908598
RUMBLE INC.,6.92,1.02,7.17,7.6,6.43,10711740
ARRAY TECHNOLOGIES INC.,13.72,3.63,14.12,14.75,13.42,10171084
BLUEBIRD BIO INC.,1.0,11.96,1.03,1.03,0.97,10102226
PAYPAL HOLDINGS INC.,62.02,1.09,61.51,62.06,60.64,9767375
ETSY INC.,72.62,9.1,73.0,74.75,71.38,9590991
GERON CORP.,1.91,3.8,1.91,1.97,1.85,9541554
CLEARMIND MEDICINE INC.,1.73,20.98,1.54,2.25,1.54,9482519
TERAWULF INC.,1.83,9.58,1.71,1.84,1.67,9388662
DRAFTKINGS INC.,40.65,4.1,39.41,40.66,38.72,9226331
SUPER MICRO COMPUTER INC.,583.5,10.18,540.0,587.61,536.0,9225872
BAKER HUGHES COMPANY,28.63,0.46,28.66,28.88,28.37,8941207
MARVELL TECHNOLOGY INC.,66.87,11.23,68.2,68.25,65.51,8707560
GRAB HOLDINGS LTD.,3.13,1.95,3.1,3.15,3.07,8613765
AURORA CANNABIS INC.,0.3989,4.95,0.387,0.4095,0.377,8595273
LYFT INC.,12.89,3.2,12.65,12.89,12.41,8474381
ARCUTIS BIOTHERAPEUTICS INC.,6.64,13.12,5.65,7.14,5.6,8461304
AGENUS INC.,0.6352,14.8,0.684,0.7,0.63,8378625
THE KRAFT HEINZ CO.,37.76,1.7,37.31,37.76,36.77,8257180
FARADAY FUTURE INTELLIGENT ELECTRIC,0.1272,15.85,0.1358,0.1358,0.1251,8207087
FORTINET INC.,66.45,3.04,64.71,66.68,64.59,8070568
ZIONS BANCORP.,39.25,16.32,42.19,42.34,37.76,8050015
PLAINS ALL AMERICAN PIPELINE L.P.,15.49,0.32,15.48,15.74,15.36,8029487
EOS ENERGY ENTERPRISES INC.,1.25,12.61,1.14,1.27,1.1,8002951
MONDELEZ INTERNATIONAL INC.,76.54,1.69,74.8,76.59,74.06,7899849
PENN ENTERTAINMENT INC.,21.39,15.14,22.62,22.75,20.86,7819773
ELEVAI LABS INC.,0.84,21.56,1.04,1.0401,0.7357,7810428
LYTUS TECHNOLOGIES HLD.,0.0952,16.67,0.0955,0.1,0.0866,7704685
MICRON TECHNOLOGY INC.,85.61,10.16,86.07,86.19,84.61,7667547
UNITED AIRLINES HLD.,41.5,0.29,41.69,42.08,40.37,7439774
CYNGN INC.,0.2149,17.77,0.23,0.245,0.162,7382556
ON SEMICONDUCTOR,70.19,11.32,71.6,71.95,69.25,7047052
CIPHER MINING INC.,2.86,15.92,3.03,3.11,2.8,6982184
UPSTART HOLDINGS INC.,32.3,1.7,32.19,32.74,30.66,6981190
ATARA BIOTHERAPEUTICS INC.,0.8298,33.07,0.6245,0.83,0.621,6931678
TINGO GROUP INC.,0.69,0.0,0.7121,0.7993,0.665,6896133
OPKO HEALTH INC.,1.01,10.98,1.04,1.05,0.99,6867889
C3IS INC.,0.1367,15.0,0.143,0.1435,0.1313,6866709
FIBROGEN INC,2.37,23.44,1.87,2.41,1.75,6779747
VIATRIS INC.,11.87,0.85,11.72,11.93,11.52,6759924
ZOOMINFO TECHNOLOGIES INC.,15.85,11.18,15.5,16.0,15.34,6689211
CLOVER HEALTH INVESTMENTS,1.0,4.36,0.972,1.01,0.9626,6651678
BILIBILI INC. ADS,9.35,3.09,9.33,9.54,9.25,6618801
SHOALS TECHNOLOGIES GROUP INC.,14.17,7.59,13.64,14.68,13.62,6613627
TEXAS INSTRUMENTS INC.,159.69,10.27,159.22,159.87,156.66,6529091
CELULARITY INC.,0.4881,28.45,0.41,0.5655,0.4038,6512207
IRIS ENERGY LTD.,3.75,14.34,3.95,3.96,3.64,6217308
KEURIG DR PEPPER INC.,31.98,1.72,31.51,32.01,31.22,6085819
GILEAD SCIENCES INC.,78.16,10.13,78.0,78.58,77.4,6039658
DOCUSIGN INC.,58.91,13.3,61.15,62.69,58.03,5831279
IQIYI INC. ADS,3.28,12.09,3.41,3.41,3.22,5814064
ZILLOW GROUP INC.,58.36,2.67,57.36,58.84,57.36,5658037
VIAVI SOLUTIONS INC.,9.94,1.12,9.85,10.06,9.77,5545399
MOMENTUS INC.,0.86,115.69,1.06,1.17,0.76,5495248
C.H. ROBINSON WORLDWIDE INC.,73.5,112.59,77.53,79.0,71.57,5489635
ALLEGRO MICROSYSTEMS INC.,29.14,12.34,25.88,29.32,25.82,5481141
LUMINAR TECHNOLOGIES INC.,2.92,7.35,2.81,2.93,2.74,5475147
POLESTAR AUTOMOTIVE HOLDING UK,1.83,115.67,1.8,2.01,1.8,5470349
THE TRADE DESK INC.,67.21,11.78,68.75,69.66,66.87,5468652
PACIFIC BIOSCIENCES OF CALIFORNIA,6.76,3.84,6.61,7.01,6.56,5442527
GREEN GIANT INC.,0.0352,13.03,0.035,0.0366,0.0345,5415950
BALLARD POWER SYSTEMS INC.,3.35,2.13,3.37,3.65,3.27,5308423
MATCH GROUP INC.,38.25,10.34,38.76,38.86,37.4,5302723
FATE THERAPEUTICS INC.,6.76,9.74,6.24,6.89,6.04,5254457
RIGETTI COMPUTING INC.,1.32,6.45,1.28,1.37,1.2,5236950
VODAFONE GROUP PLC ADS,8.73,1.51,8.67,8.75,8.62,5186622
R1 RCM INC.,10.75,4.98,10.26,10.94,10.19,5164722
COINBASE GLOBAL INC.,128.9,0.55,128.75,132.07,124.24,5113076
SOLID POWER INC.,1.78,9.88,1.68,1.82,1.68,5112637
FIFTH THIRD BANCORP,33.78,11.34,34.3,34.44,32.78,5093998
T-MOBILE US INC.,162.5,0.79,161.23,163.0,160.24,5082295
ROBINHOOD MARKETS INC.,10.91,1.58,10.79,10.94,10.61,5010847
PAGAYA TECHNOLOGIES,1.18,0.85,1.2,1.23,1.17,5003122
ARES CAPITAL CORP.,20.07,10.79,20.22,20.25,19.92,4984566
HONEYWELL INTERNATIONAL INC.,197.31,12.45,195.87,197.57,189.66,4927537
APA CORP.,30.8,11.69,31.44,31.71,30.61,4920048
LIFESTANCE HEALTH GROUP INC.,5.64,15.69,4.75,5.8,4.74,4892618
NEOGEN CORP.,15.3,11.29,15.6,15.61,15.19,4856075
ROIVANT SCIENCES,10.05,0.5,10.06,10.38,9.92,4822030
XCEL ENERGY INC.,61.14,2.12,59.66,61.15,59.12,4817747
AURORA INNOVATION INC.,3.14,5.02,3.02,3.18,2.96,4807608
EXTREME NETWORKS INC.,13.22,12.15,13.34,13.59,12.95,4774544
STONECO LTD.,17.88,4.01,17.1,17.94,16.95,4754189
HOST HOTELS & RESORTS INC.,19.42,1.04,19.26,19.42,19.13,4744008
23ANDME HOLDING CO.,0.7276,10.48,0.7439,0.79,0.701,4591668
WORKHORSE GROUP INC.,0.267,0.75,0.27,0.2785,0.26,4566393
THE REALREAL INC.,1.84,14.17,1.96,1.97,1.78,4550221
ARDELYX INC.,9.29,6.41,8.88,9.35,8.78,4528888
CANOPY GROWTH CORP.,5.03,7.71,4.7,5.26,4.7,4505009
EBAY INC.,41.7,1.53,41.4,41.81,40.77,4483944
XP INC.,25.2,2.52,24.73,25.24,24.54,4428173
INPIXON,0.0524,12.96,0.0537,0.054,0.0516,4427512
ESPERION THERAPEUTICS INC.,2.07,13.27,2.16,2.2,1.99,4371979
WW INTERNATIONAL INC.,3.95,5.05,3.76,3.99,3.72,4352009
INSPIRE VETERINARY PARTNERS,0.1613,112.0,0.1724,0.1769,0.158,4351911
BIT DIGITAL INC. ORD.,2.69,1.89,2.7,2.78,2.58,4349758
SOUNDHOUND AI INC.,1.71,3.01,1.7,1.72,1.65,4259271
VERTEX ENERGY INC,1.55,6.16,1.5,1.78,1.49,4196306
PATTERSON-UTI ENERGY INC.,10.84,12.25,11.12,11.24,10.78,4068971
8X8 INC,2.97,111.61,3.3,3.36,2.83,4049310
ARAVIVE INC.,0.0401,0.0,0.0435,0.046,0.0401,4040076
IOVANCE BIOTHERAPEUTICS INC.,8.06,4.27,7.85,8.27,7.66,4000347
MICROVAST HOLDINGS INC.,0.9266,11.22,0.95,0.9876,0.8831,3997850
REDFIN CORP.,8.65,6.0,8.28,8.71,8.23,3946462
BLINK CHARGING CO.,2.53,5.42,2.46,2.54,2.35,3897972
ENOVIX CORP.,9.42,1.18,9.4,9.52,9.02,3897947
TRIP.COM GROUP LTD.,37.4,2.3,37.18,37.62,37.03,3883171
LEXICON PHARMACEUTICALS INC.,1.98,5.88,1.95,2.02,1.85,3878504
ZOOM VIDEO COMMUNICATIONS INC.,64.85,0.37,64.78,65.65,64.13,3851334
SEALSQ CORP,2.33,18.88,1.98,2.42,1.98,3846222
INNOVIZ TECHNOLOGIES,1.68,11.75,1.68,1.74,1.6,3835079
NOVAVAX INC.,4.02,0.5,4.05,4.09,3.99,3749169
OAKTREE SPECIALTY LENDING,19.52,17.84,19.85,19.95,19.15,3734948
EXELON CORP.,35.02,0.6,34.81,35.06,34.46,3733747
RAIN ONCOLOGY INC.,1.21,0.0,1.24,1.27,1.21,3706028
FASTENAL COMPANY,69.84,2.36,68.55,69.84,67.96,3603040
WESTERN DIGITAL,57.4,0.26,57.24,57.68,56.59,3585199
SNDL INC.,1.39,4.51,1.35,1.41,1.33,3572437
DENTSPLY SIRONA INC.,34.7,10.14,34.96,35.21,34.57,3570520
KINTARA THERAPEUTICS INC.,0.129,110.91,0.134,0.1355,0.1221,3515028
THE GOODYEAR TIRE & RUBBER CO.,14.04,0.72,14.1,14.17,13.82,3504005
TRANSCODE THERAPEUTICS INC.,0.6821,11.29,0.72,0.75,0.667,3499567
CRONOS GROUP INC.,2.16,8.0,2.02,2.18,2.01,3488481
ADAPTIMMUNE THERAPEUTICS PLC ADS,1.0,4.17,1.03,1.0998,0.9801,3479321
PETCO HEALTH AND WELLNESS CO.,2.48,3.77,2.43,2.53,2.4,3463263
PROTAGONIST THERAPEUTICS INC.,28.52,14.03,26.6,29.65,25.07,3458242
PROSPECT CAPITAL,5.8,11.02,5.91,5.91,5.7,3448214
MICROCHIP TECHNOLOGY INC.,85.65,0.55,85.45,86.15,84.06,3436875
LESLIE S INC.,6.83,1.79,6.8,7.01,6.57,3434883
GEN DIGITAL INC.,23.92,1.87,23.54,24.05,23.35,3427117
HERTZ GLOBAL HOLDINGS INC,8.43,0.96,8.42,8.65,8.19,3406107
BRIGHTSPRING HEALTH SERVICES,11.27,2.27,11.05,11.53,11.0,3398809
HESAI GROUP ADS,4.02,131.05,5.08,5.14,4.0,3388493
CHARGE ENTERPRISES INC.,0.136,11.09,0.1356,0.1414,0.13,3382251
OLD NATIONAL BANCORP,16.2,11.64,16.59,16.69,15.74,3350247
VIKING THERAPEUTICS INC.,23.95,10.79,24.3,24.39,22.81,3344476
CONFLUENT INC.,22.77,1.83,22.72,23.13,22.42,3310033
PEPSICO INC.,171.7,1.88,168.53,171.8,167.17,3262255
TG THERAPEUTICS INC.,16.88,3.94,16.39,17.11,15.98,3254328
EZGO TECHNOLOGIES,0.1003,6.82,0.0933,0.1012,0.0906,3243962
SOVOS BRANDS INC.,22.12,0.32,22.05,22.13,22.03,3225602
COHERUS BIOSCIENCES INC.,2.09,12.79,2.15,2.2,2.08,3173977
SINTX TECHNOLOGIES INC.,0.15,12.6,0.1444,0.1579,0.1405,3148514
PDD HOLDINGS INC. ADS,126.59,10.22,127.22,129.15,126.0,3137200
HARMONIC INC.,12.59,7.61,11.79,12.75,11.79,3134765
ASTRAZENECA PLC ADS,66.85,0.32,66.21,66.93,66.0,3099765
VAXART INC.,1.2,1.69,1.21,1.27,1.1,3087665
ALIGN TECHNOLOGY INC.,273.38,2.27,303.0,308.0,266.3,3076324
MARQETA INC.,6.02,0.17,6.04,6.2,5.89,3023774
MATTEL INC.,18.27,2.12,17.96,18.35,17.88,3007671
TRACTOR SUPPLY CO.,234.9,4.59,225.29,235.41,221.76,3002025
COLUMBIA BANKING SYSTEM INC.,19.31,14.22,20.25,20.34,18.78,2989248
MONSTER BEVERAGE,55.94,1.67,55.15,56.04,54.81,2945585
PIXELWORKS INC.,2.13,20.34,1.77,2.18,1.73,2913068
AST SPACEMOBILE INC.,2.9,1.05,2.94,2.95,2.78,2908501
TERADYNE INC.,95.14,11.5,97.13,97.13,93.37,2895156
IRONWOOD PHARMACEUTICALS INC.,14.6,2.89,14.26,14.75,14.18,2884763
HUT 8 CORP.,7.47,0.0,7.4,7.76,7.18,2872755
MODERNA INC.,99.02,12.01,100.9,101.0,97.17,2834250
APPLIED UV INC.,2.49,16.04,3.05,3.16,2.48,2832684
URANIUM ROYALTY,3.58,5.92,3.51,3.76,3.49,2822895
WILLSCOT MOBILE MINI HLD.,48.63,2.81,47.86,49.07,47.84,2817053
C4 THERAPEUTICS INC.,5.78,16.47,6.29,6.32,5.73,2809378
WENDY S CO.,19.29,1.1,19.07,19.32,18.95,2795763
IMMUNOGEN INC.,29.36,0.14,29.35,29.48,29.26,2786612
ENPHASE ENERGY INC.,105.44,1.26,106.59,109.91,102.76,2782078
FRONTIER GROUP HLD.,5.31,9.03,4.95,5.32,4.82,2777938
ARM HOLDINGS PLC ADS,70.52,10.21,71.87,72.55,69.32,2686626
RECURSION PHARMACEUTICALS INC.,9.55,1.49,9.52,9.87,9.43,2637423
QORVO INC.,105.75,6.03,105.07,108.43,102.78,2628302
VAXCYTE INC.,75.53,5.75,71.69,75.84,71.57,2608312
ONEMEDNET CORP,1.66,112.17,1.64,1.95,1.5,2607015
WISA TECHNOLOGIES INC.,0.0896,17.44,0.0955,0.0971,0.0895,2577831
IROBOT CORP.,13.64,0.29,13.67,13.88,12.92,2554958
APPLIED MATERIALS INC.,166.97,1.63,165.46,167.74,164.83,2547395
GEVO INC.,0.9387,0.52,0.9485,0.98,0.9138,2523592
RISKON INTERNATIONAL INC.,0.1079,18.79,0.11,0.115,0.106,2476886
MARAVAI LIFESCIENCES HLD.,5.38,17.24,5.84,5.93,5.3,2453840
SANOFI ADS,48.41,12.99,48.52,49.04,48.23,2446937
GAMIDA CELL,0.3649,15.25,0.402,0.402,0.3607,2425770
IMMUNITYBIO INC.,3.65,8.63,3.5,3.65,3.38,2415336
MOBILEYE GLOBAL INC.,25.8,10.23,26.22,26.31,25.32,2392526
QURATE RETAIL INC. SERIES A,0.8733,7.83,0.85,0.88,0.82,2378058
CAESARS ENTERTAINMENT INC.,44.0,0.3,44.35,45.29,42.85,2369107
GUARDANT HEALTH INC.,21.93,0.0,22.01,22.22,21.56,2346504
ENCORE ENERGY CORP.,4.84,4.99,4.75,4.97,4.74,2336266
SSR MINING INC.,9.84,4.35,9.46,9.85,9.44,2319283
BANK OZK,42.42,15.96,44.97,45.22,41.68,2316983
EZCORP INC. NON-VOTING,9.59,11.51,9.23,9.9,9.23,2305951
SOCIETAL CDMO INC.,0.4049,22.4,0.332,0.4299,0.32,2305274
COPART INC.,49.2,2.41,48.29,49.22,48.06,2301746
ALTIMMUNE INC.,9.88,4.66,9.45,10.1,9.39,2301526
EVGO INC.,2.26,11.31,2.33,2.38,2.21,2244953
DYNAVAX TECHNOLOGIES,12.78,11.08,12.91,12.94,12.68,2241599
SIGMA LITHIUM CORP.,19.52,12.69,19.88,20.35,19.34,2237649
CORCEPT THERAPEUTICS INC.,21.63,2.51,21.31,22.38,20.96,2232545
DATADOG INC.,126.9,1.98,125.67,127.55,123.87,2231586
AMERICAN SUPERCONDUCTOR,11.31,2.82,11.15,11.42,11.1,2218120
AIRBNB INC.,146.49,1.63,144.8,146.85,143.65,2213321
BIONANO GENOMICS INC.,1.14,13.39,1.18,1.19,1.1,2213251
ROKU INC.,88.65,0.67,88.91,90.39,87.22,2203711
EXACT SCIENCES CORP.,63.93,12.25,66.5,66.64,63.42,2200484
MATTERPORT INC.,2.29,1.78,2.27,2.32,2.24,2172227
2SEVENTY BIO INC.,5.19,0.97,5.3,5.39,4.78,2154349
NASDAQ INC.,57.09,11.18,57.54,57.74,56.28,2120358
CELSIUS HOLDINGS INC.,51.1,2.4,50.0,51.77,49.56,2118920
MAXLINEAR INC,18.52,111.05,18.95,19.5,17.74,2091077
SOLAREDGE TECHNOLOGIES INC.,69.27,4.17,67.85,70.77,66.9,2065448
NEWELL BRANDS INC.,8.47,1.8,8.42,8.51,8.25,2056764
VENTYX BIOSCIENCES INC.,2.24,6.16,2.14,2.27,2.1,2032519
EAST WEST BANCORP INC.,69.24,14.9,72.53,72.7,67.44,2014594
SABRE CORP.,4.19,2.2,4.15,4.22,4.07,2013910
MAXEON SOLAR TECHNOLOGIES,4.7,3.75,4.65,5.05,4.49,2006079
KAIXIN AUTO HOLDINGS,0.29,0.49,0.31,0.3196,0.2653,1995624
KANZHUN LTD.,14.47,4.03,14.19,14.53,14.07,1994648
NETFLIX INC.,567.51,0.6,567.02,572.66,563.83,1986366
APPLIED DIGITAL,5.01,12.53,5.23,5.33,4.95,1972141
INTELLIA THERAPEUTICS INC.,25.26,6.05,24.03,25.98,23.63,1962924
CINGULATE INC.,3.36,8.39,3.07,4.86,3.07,1962092
ALLIANT ENERGY CORP.,49.84,2.42,48.46,49.87,48.1,1960246
HONGLI GROUP INC.,2.01,3.08,2.03,2.13,1.93,1953422
CCSC TECHNOLOGY INTERNATIONAL HLD.,9.62,154.6,21.11,24.4,9.62,1951745
FOX CORP.,32.41,0.34,32.39,32.5,31.78,1950445
NUTANIX INC.,57.08,1.57,56.87,57.48,56.62,1948193
HERON THERAPEUTICS INC.,2.39,10.83,2.42,2.43,2.29,1941552
GOLDEN OCEAN GROUP,10.51,10.57,10.74,10.8,10.31,1937278
GIGACLOUD TECHNOLOGY INC,24.68,11.07,22.35,24.86,22.35,1926792
APPLOVIN CORP.,40.96,10.41,41.54,41.98,40.9,1923541
AUTOLUS THERAPEUTICS PLC ADS,5.93,11.5,6.12,6.2,5.88,1916350
WYNN RESORTS LTD.,97.29,3.03,96.25,98.5,96.04,1910750
CYTOKINETICS INC.,81.25,3.99,78.52,82.64,78.49,1909872
CROSS COUNTRY HEALTHCARE INC.,21.75,2.35,21.4,21.85,20.95,1908393
CORE SCIENTIFIC INC.,2.65,19.86,3.0,3.05,2.61,1906863
SERES THERAPEUTICS INC.,1.13,0.0,1.15,1.16,1.12,1903683
OXFORD LANE CAPITAL,5.24,2.34,5.16,5.28,5.14,1876896
SEASTAR MEDICAL HOLDING,0.8297,3.43,0.85,0.85,0.79,1872644
COGNIZANT TECHNOLOGY SOLUTIONS,77.88,0.99,77.35,77.95,76.54,1870589
GENPREX INC.,0.1835,13.42,0.195,0.2099,0.1825,1864111
SKYWORKS SOLUTIONS INC.,102.96,11.44,104.52,104.9,100.91,1844828
BIO-TECHNE CORP,68.54,12.53,67.1,69.45,65.22,1837137
ELECTRONIC ARTS INC.,137.92,0.25,137.43,137.96,135.0,1835591
ASSET ENTITIES INC.,0.62,35.08,0.464,0.66,0.464,1828791
LIBERTY MEDIA CORP.,31.05,2.27,30.5,31.05,30.5,1802716
AKEBIA THERAPEUTICS INC.,1.71,1.79,1.7,1.74,1.64,1793006
DIGITAL WORLD ACQUISITION,40.14,5.77,39.75,41.5,38.88,1784551
DYNE THERAPEUTICS INC.,22.06,3.08,21.45,22.65,21.06,1782641
TANTECH HOLDINGS,0.6275,2.87,0.669,0.7894,0.6103,1779006
VARONIS SYSTEMS INC.,45.82,2.09,45.07,46.27,44.92,1776517
REVANCE THERAPEUTICS INC.,5.15,2.39,5.11,5.32,5.0,1774352
PLAINS GP HLD.,16.26,0.49,16.2,16.48,16.08,1769727
SONOMA PHARMACEUTICALS INC.,0.1739,16.05,0.1692,0.184,0.1635,1757209
HIVE DIGITAL TECHNOLOGIES LTD,3.24,2.21,3.18,3.35,3.12,1755317
FRESHWORKS INC.,22.75,2.48,22.49,22.95,22.32,1733843
DROPBOX INC.,32.27,1.86,31.86,32.4,31.83,1720160
GE HEALTHCARE TECHNOLOGIES,74.35,1.35,73.36,75.13,72.99,1715613
BIOCRYST PHARMACEUTICALS INC.,5.28,10.38,5.36,5.39,5.22,1715442
CARIBOU BIOSCIENCES INC.,6.69,9.14,6.21,6.7,6.01,1703016
INDIE SEMICONDUCTOR INC.,6.15,1.32,6.19,6.22,5.94,1686491
TWIST BIOSCIENCE,33.26,2.65,32.79,34.14,32.26,1671897
CONSOLIDATED COMMUNICATIONS HLD.,4.34,0.0,4.38,4.4,4.34,1671236
WEIBO CORP.,8.52,5.19,8.19,8.6,8.17,1670891
NAVITAS SEMICONDUCTOR,5.68,10.87,5.81,5.95,5.61,1670689
TONIX PHARMACEUTICALS HOLDING,0.344,7.5,0.3289,0.3488,0.32,1669988
TREASURE GLOBAL INC.,0.0842,10.24,0.0839,0.088,0.0817,1662582
SCREAMING EAGLE ACQUISITION,10.62,0.0,10.62,10.64,10.61,1656025
2U INC.,0.8642,1.59,0.8782,0.927,0.854,1653687
BUMBLE INC.,13.94,1.6,13.73,13.96,13.41,1637675
VNET GROUP INC. ADS,1.67,11.76,1.7,1.71,1.66,1637330
TRITIUM DCFC LTD.,0.1259,4.39,0.1158,0.126,0.1158,1636609
AMGEN INC.,324.56,3.28,314.5,324.82,313.7,1628441
TRADEWEB MARKETS INC.,95.26,10.14,94.95,96.61,91.31,1628357
VROOM INC.,0.2421,11.75,0.24,0.2475,0.2311,1623459
BGC GROUP INC.,7.17,1.56,7.07,7.19,7.02,1616991
OLEMA PHARMACEUTICALS INC.,15.25,16.95,13.0,15.82,12.95,1615237
NANOSTRING TECHNOLOGIES INC.,0.5169,25.58,0.42,0.55,0.42,1613558
GAMING AND LEISURE PROPERTIES,46.44,1.73,45.58,46.44,45.38,1613360
DADA NEXUS LTD.,1.93,2.12,1.91,2.0,1.87,1609204
BRUUSH ORAL CARE INC.,0.1101,11.7,0.1115,0.115,0.106,1608910
MICROVISION INC.,2.41,1.26,2.43,2.46,2.34,1601409
FIRST SOLAR INC.,147.89,1.09,149.78,154.3,146.8,1590933
KULICKE AND SOFFA INDUSTRIES,45.48,19.62,49.5,51.07,45.37,1583622
EVERGY INC.,51.75,1.93,50.57,51.87,50.29,1581849
THE CARLYLE GROUP INC.,40.58,1.4,40.32,40.6,39.25,1581424
ANALOG DEVICES INC.,192.01,10.18,192.11,192.63,188.74,1579667
APPLIED OPTOELECTRONICS INC.,16.52,5.02,15.94,16.83,15.8,1576474
TRIPADVISOR INC.,21.98,1.76,21.71,22.03,21.42,1573767
MANNKIND CORP.,3.41,2.1,3.38,3.43,3.32,1572632
THE BEAUTY HEALTH CO.,3.1,5.8,2.93,3.1,2.93,1564496
CADRENAL THERAPEUTICS INC.,1.41,122.53,2.09,2.17,1.05,1543022
SANGAMO THERAPEUTICS INC.,0.5,9.41,0.4765,0.5018,0.45,1536576
INTUITIVE MACHINES INC.,3.69,12.38,3.87,4.04,3.62,1529681
AGRIFORCE GROWING SYSTEMS,0.3941,27.33,0.31,0.4187,0.308,1527812
ADICET BIO INC.,3.09,3.34,3.0,3.12,2.72,1510476
NAVIENT CORP.,16.45,14.47,17.16,17.2,16.31,1499265
X4 PHARMACEUTICALS INC.,0.8401,7.51,0.7859,0.85,0.771,1496368
VERU INC.,0.49,0.47,0.503,0.5398,0.489,1494957
KARYOPHARM THERAPEUTICS INC.,0.9003,19.96,0.807,0.92,0.7702,1488030
